"","time","minute","minutes_after_dark","period","subject_race"
"237",19:45:00,1185,129,"night","white"
"238",20:00:00,1200,144,"night","black"
"239",20:10:00,1210,154,"night","white"
"240",20:15:00,1215,159,"night","black"
"241",20:20:00,1220,164,"night","white"
"242",20:40:00,1240,184,"night","white"
"243",21:05:00,1265,209,"night","white"
"244",17:45:00,1065,8,"night","black"
"245",17:50:00,1070,13,"night","white"
"246",18:00:00,1080,23,"night","white"
"247",18:02:00,1082,25,"night","white"
"248",18:20:00,1100,43,"night","white"
"249",18:20:00,1100,43,"night","white"
"250",18:20:00,1100,43,"night","white"
"251",18:32:00,1112,55,"night","white"
"252",18:33:00,1113,56,"night","black"
"253",18:35:00,1115,58,"night","white"
"254",18:58:00,1138,81,"night","white"
"255",19:00:00,1140,83,"night","black"
"256",19:00:00,1140,83,"night","white"
"257",19:00:00,1140,83,"night","white"
"258",19:06:00,1146,89,"night","white"
"259",19:10:00,1150,93,"night","white"
"260",19:10:00,1150,93,"night","white"
"261",19:15:00,1155,98,"night","black"
"262",19:15:00,1155,98,"night","white"
"263",19:24:00,1164,107,"night","white"
"264",19:30:00,1170,113,"night","black"
"265",19:30:00,1170,113,"night","white"
"266",19:30:00,1170,113,"night","white"
"267",20:00:00,1200,143,"night","white"
"268",20:04:00,1204,147,"night","black"
"269",20:20:00,1220,163,"night","black"
"270",20:20:00,1220,163,"night","white"
"271",20:23:00,1223,166,"night","white"
"272",20:23:00,1223,166,"night","white"
"273",20:24:00,1224,167,"night","black"
"274",20:38:00,1238,181,"night","white"
"275",21:08:00,1268,211,"night","white"
"276",17:38:00,1058,0,"day","black"
"277",17:39:00,1059,1,"night","white"
"278",17:44:00,1064,6,"night","white"
"279",17:45:00,1065,7,"night","black"
"280",18:04:00,1084,26,"night","white"
"281",18:10:00,1090,32,"night","white"
"282",18:14:00,1094,36,"night","white"
"283",18:17:00,1097,39,"night","white"
"284",18:20:00,1100,42,"night","white"
"285",18:37:00,1117,59,"night","white"
"286",18:45:00,1125,67,"night","black"
"287",18:48:00,1128,70,"night","white"
"288",18:55:00,1135,77,"night","white"
"289",18:57:00,1137,79,"night","white"
"290",19:04:00,1144,86,"night","white"
"291",19:10:00,1150,92,"night","white"
"292",19:15:00,1155,97,"night","white"
"293",19:15:00,1155,97,"night","white"
"294",19:24:00,1164,106,"night","black"
"295",19:28:00,1168,110,"night","white"
"296",19:45:00,1185,127,"night","black"
"297",19:45:00,1185,127,"night","white"
"298",19:50:00,1190,132,"night","black"
"299",19:55:00,1195,137,"night","white"
"300",19:55:00,1195,137,"night","white"
"301",20:00:00,1200,142,"night","white"
"302",20:10:00,1210,152,"night","white"
"303",20:20:00,1220,162,"night","black"
"304",20:20:00,1220,162,"night","black"
"305",20:30:00,1230,172,"night","white"
"306",20:40:00,1240,182,"night","white"
"307",20:44:00,1244,186,"night","white"
"308",20:47:00,1247,189,"night","black"
"309",20:50:00,1250,192,"night","white"
"310",20:56:00,1256,198,"night","black"
"311",21:05:00,1265,207,"night","black"
"312",17:40:00,1060,1,"night","white"
"313",17:45:00,1065,6,"night","black"
"314",17:50:00,1070,11,"night","white"
"315",18:01:00,1081,22,"night","black"
"316",18:28:00,1108,49,"night","white"
"317",18:40:00,1120,61,"night","black"
"318",18:44:00,1124,65,"night","white"
"319",18:50:00,1130,71,"night","white"
"320",18:55:00,1135,76,"night","white"
"321",19:10:00,1150,91,"night","white"
"322",19:14:00,1154,95,"night","black"
"323",19:15:00,1155,96,"night","black"
"324",19:15:00,1155,96,"night","white"
"325",19:15:00,1155,96,"night","white"
"326",19:15:00,1155,96,"night","white"
"327",19:30:00,1170,111,"night","white"
"328",19:30:00,1170,111,"night","white"
"329",19:45:00,1185,126,"night","white"
"330",19:50:00,1190,131,"night","white"
"331",20:04:00,1204,145,"night","white"
"332",20:10:00,1210,151,"night","white"
"333",20:30:00,1230,171,"night","white"
"334",20:34:00,1234,175,"night","white"
"335",20:40:00,1240,181,"night","white"
